タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,住所,,,緯度,経度
町田商店　太平通店,https://www.cookdoor.jp/dtl/00000000000080136740/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/4/7/00000000000080136740/0000003829/00000000000080136740_0000003829_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/4/7/00000000000080136740/0000036836/00000000000080136740_0000036836_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/4/7/00000000000080136740/0000067865/00000000000080136740_0000067865_1_s.jpg,〒454-0838 愛知県名古屋市中川区太平通７丁目１,名古屋臨海高速鉄道あおなみ線「中島駅」から「町田商店　太平通店」まで 徒歩10分,71件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%ad%e5%b3%b6%e9%a7%85+%e3%80%92454-0865&destination=35.1280521042071,136.869289976151&travelmode=walking","中川区の太平通りにあるラーメン屋さん、町田商店さんです！
ご飯屋さんが閉まり始める22時以降でも、電気がついていてお店が明るい！
仕事が遅くなってしまったり、シメのご飯が欲しくなったときにも行けるのはとっても嬉しいですね♪
看板にも書いてある通り、家系ラーメンのお店！がっつりです！
定番のラーメン、味玉ラーメン、チャーシューも増えたMAXラーメン！
もちろん、チャーハン、唐揚げ、餃子セットもあります！
行ったことがなくても、メニューを見るだけで大満足間違いなしですね♪
私は今回初めて行ったので、定番のラーメンにしてみました。
単品の餃子も頼んじゃいました！
ラーメンは、麺の硬さ、味の濃さ、油の量も選べます。
また、ラーメンに入れるタマネギは無料だそうです！大好きな人は是非！
麺は少し太めで、長さも短めな気がしました。
味もしっかりしていて、それほど食べてないのにお腹がいっぱいに。満足すぎる量でした。
あっさりラーメンよりも、こってりしたものを食べたい時におすすめです！…",212枚,11本,名古屋高速4号東海線「六番南出入口（IC）」から「町田商店　太平通店」まで 1.9km,〜￥999,"1,379件",町田商店 64店舗,"3,645枚",260本,町田商店　太平通店,11:00-24:00,〒454-0838, 愛知県名古屋市中川区太平通７丁目１,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%B7%9D%E5%8C%BA%E5%A4%AA%E5%B9%B3%E9%80%9A%EF%BC%97%E4%B8%81%E7%9B%AE%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中川区太平通７丁目１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中川区太平通７丁目１</converted>
<candidate>
<address>愛知県/名古屋市/中川区/太平通/七丁目/１番地</address>
<longitude>136.869293</longitude>
<latitude>35.127762</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.127762,136.869293
丸源ラーメン　岸和田店,https://www.cookdoor.jp/dtl/60000000000000012299/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/9/2/60000000000000012299/0000074869/60000000000000012299_0000074869_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/9/2/60000000000000012299/0000074191/60000000000000012299_0000074191_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/9/2/60000000000000012299/0000074869/60000000000000012299_0000074869_4_s.jpg,〒596-0023 大阪府岸和田市八幡町4-52,南海電気鉄道「春木駅」から「丸源ラーメン　岸和田店」まで 徒歩4分,62件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%98%a5%e6%9c%a8%e9%a7%85+%e3%80%92596-0006&destination=34.4802147380129,135.390759819765&travelmode=walking",丸源ラーメン岸和田店で肉そばと卵飯を注文しました。肉そばはスープがあっさりしていてすごく食べやすかった。卵飯もセットで注文してとても美味しかった。店員の対応もとても良かったので星5とさせていただきます。…,212枚,11本,阪神高速4号湾岸線「岸和田北IC」から「丸源ラーメン　岸和田店」まで 1.6km,"昼：〜1000円
夜：〜1000円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　岸和田店,11時〜25時,〒596-0023, 大阪府岸和田市八幡町4-52,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%B2%B8%E5%92%8C%E7%94%B0%E5%B8%82%E5%85%AB%E5%B9%A1%E7%94%BA4-52,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 大阪府岸和田市八幡町4-52</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 大阪府岸和田市八幡町4-52</converted>
<candidate>
<address>大阪府/岸和田市/八幡町/４番/５２号</address>
<longitude>135.391006</longitude>
<latitude>34.480213</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.480213,135.391006
にぼし家,https://www.cookdoor.jp/dtl/75000000000000014555/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/5/5/75000000000000014555/0000001564/75000000000000014555_0000001564_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/5/5/75000000000000014555/0000078011/75000000000000014555_0000078011_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/5/5/75000000000000014555/0000075983/75000000000000014555_0000075983_4_s.jpg,〒710-0253 岡山県倉敷市新倉敷駅前5-252-1,ＪＲ山陽本線「新倉敷駅」から「にぼし家」まで 徒歩6分,127件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%96%b0%e5%80%89%e6%95%b7%e9%a7%85+%e3%80%92710-0252&destination=34.560309868159,133.67819363649&travelmode=walking","店の名前の通り、豚骨醤油ベースに煮干しが効いたスープはとてもうまい。
麺は中太麺で、個人的には好みな麺。スープにも程よく絡んでくれる。
セットの唐揚げも大きさがあって、ラーメンのスープにつけて食べる
のがとても美味しい。
他のサイドメニューはライスや餃子もあり、いろんなバリュエーションが楽しめるのもいいポイントだと思います。
ラーメンの他には、味噌ラーメンやタンタン麺や油そばもあるので、
その日の気分によって食べるラーメンを変えるのもいいかもしれないです。
店内の回転も早く、平日の昼間も並びますが、回転は早いので
第2駐車場に停めてもそんなに待ちません。
土日に行くときはお昼前から列ができ始めています。
カウンター席、テーブル席、座敷があり席数はそんなに多くないですが
ゆったりと座ることはできます。
接客も丁寧なので、気持ちよく食事が楽しめるお店だなといつも感じております。
paypayも使えるので支払いも楽チンです。…",188枚,28本,山陽自動車道「玉島IC」から「にぼし家」まで 2.5km,1300円未満,,,,,にぼし家,"11:00〜15:00
17:00〜22:00",〒710-0253, 岡山県倉敷市新倉敷駅前5-252-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%80%89%E6%95%B7%E5%B8%82%E6%96%B0%E5%80%89%E6%95%B7%E9%A7%85%E5%89%8D5-252-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県倉敷市新倉敷駅前5-252-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県倉敷市新倉敷駅前5-252-</converted>
<candidate>
<address>岡山県/倉敷市/新倉敷駅前/五丁目/２５２番地</address>
<longitude>133.678360</longitude>
<latitude>34.560295</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.560295,133.67836
来来亭　守山村前店,https://www.cookdoor.jp/dtl/60000000000000002284/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/2/60000000000000002284/0000005262/60000000000000002284_0000005262_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/2/60000000000000002284/0000063723/60000000000000002284_0000063723_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/8/2/60000000000000002284/0000005262/60000000000000002284_0000005262_8_s.jpg,〒463-0082 愛知県名古屋市守山区村前町220,名鉄瀬戸線「小幡駅」から「来来亭　守山村前店」まで 徒歩15分,70件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b0%8f%e5%b9%a1%e9%a7%85+%e3%80%92463-0048&destination=35.2083141039423,136.966369606861&travelmode=walking","愛知県名古屋市守山区にある「来来亭　守山村前店」さんに行ってきました。
ランチメニューが豊富で選ぶのが楽しかったです。
またボリュームもあり、男性にピッタリでまた行きたいです！…",205枚,16本,名古屋第二環状自動車道「小幡IC」から「来来亭　守山村前店」まで 1.4km,800円,"7,568件",来来亭 229店舗,"13,906枚","1,169本",来来亭　守山村前店,11:00〜00：00,〒463-0082, 愛知県名古屋市守山区村前町220,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%AE%88%E5%B1%B1%E5%8C%BA%E6%9D%91%E5%89%8D%E7%94%BA220,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市守山区村前町220</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市守山区村前町220</converted>
<candidate>
<address>愛知県/名古屋市/守山区/村前町/２２０番地</address>
<longitude>136.966354</longitude>
<latitude>35.208241</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.208241,136.966354
龍の家　久留米インター店,https://www.cookdoor.jp/dtl/60000000000000012083/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/0/60000000000000012083/0000004632/60000000000000012083_0000004632_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/0/60000000000000012083/0000005806/60000000000000012083_0000005806_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/0/60000000000000012083/0000024693/60000000000000012083_0000024693_2_s.jpg,〒839-0841 福岡県久留米市御井旗崎1丁目11-1,ＪＲ久大本線「久留米大学前駅」から「龍の家　久留米インタ…」まで 徒歩4分,142件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b9%85%e7%95%99%e7%b1%b3%e5%a4%a7%e5%ad%a6%e5%89%8d%e9%a7%85+%e3%80%92839-0842&destination=33.3124320722792,130.552183487288&travelmode=walking","福岡県久留米市にあるお店です。

ここは昔からある老舗ラーメン屋さんです。
お昼ときにはお客様でいっぱいになるほど人気が
ありとてもおいしいです。
特に餃子は周りがパリパリで、中がジューシーで
最高においしいです。…",198枚,15本,九州自動車道「久留米IC」から「龍の家　久留米インタ…」まで 610m,〜￥999,,,,,龍の家　久留米インター店,11:00〜24：00( 2017.3.1現在),〒839-0841, 福岡県久留米市御井旗崎1丁目11-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E5%BE%A1%E4%BA%95%E6%97%97%E5%B4%8E1%E4%B8%81%E7%9B%AE11-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 福岡県久留米市御井旗崎1丁目11-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 福岡県久留米市御井旗崎1丁目11-1</converted>
<candidate>
<address>福岡県/久留米市/御井旗崎/一丁目/１１番/１号</address>
<longitude>130.552200</longitude>
<latitude>33.312649</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",33.312649,130.5522
くらお,https://www.cookdoor.jp/dtl/75000000000000023330/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/3/3/75000000000000023330/0000047222/75000000000000023330_0000047222_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/3/3/75000000000000023330/0000067784/75000000000000023330_0000067784_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/3/3/75000000000000023330/0000073138/75000000000000023330_0000073138_3_s.jpg,〒520-2362 滋賀県野洲市市三宅2341-1,ＪＲ東海道本線「野洲駅」から「くらお」まで 徒歩7分,59件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e9%87%8e%e6%b4%b2%e9%a7%85+%e3%80%92520-2331&destination=35.0676256045815,136.015848913878&travelmode=walking",くらおにラーメンを食べに来ました。野洲市にあるラーメン屋さんで、近くに飲食店がたくさんある立地です。前から来たいと思っていたラーメン屋さんなので、これて嬉しいです。チャーシュー麺を食べました。…,214枚,6本,名神高速道路「栗東IC」から「くらお」まで 5.2km,"〜1,000円",,,,,くらお,11:30〜23:00,〒520-2362, 滋賀県野洲市市三宅2341-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E9%87%8E%E6%B4%B2%E5%B8%82%E5%B8%82%E4%B8%89%E5%AE%852341-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 滋賀県野洲市市三宅2341-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 滋賀県野洲市市三宅</converted>
<candidate>
<address>滋賀県/野洲市/市三宅</address>
<longitude>136.016647</longitude>
<latitude>35.080242</latitude>
<iLvl>5</iLvl>
</candidate>
</results>
",35.080242,136.016647
たかばしラーメン　京都南インター店,https://www.cookdoor.jp/dtl/1060468676/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/6/1060468676/0000044998/1060468676_0000044998_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/6/1060468676/0000047770/1060468676_0000047770_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/7/6/1060468676/0000002490/1060468676_0000002490_5_s.jpg,〒601-8143 京都府京都市南区上鳥羽麻ノ本２７－３,京都市地下鉄烏丸線「竹田駅」から「たかばしラーメン　京…」まで 徒歩12分,63件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e7%ab%b9%e7%94%b0%e9%a7%85+%e3%80%92612-8421&destination=34.9562411261064,135.745311510657&travelmode=walking",南インター付近にあるラーメン屋さんです。いつも店内はお客さんで賑わってる印象です。ラーメンとチャーハンをいつも注文します！店員さんの接客も明るくてとても親切なのでオススメです。…,202枚,17本,名神高速道路「京都南IC」から「たかばしラーメン　京…」まで 350m,昼：750円〜1200円,,,,,たかばしラーメン　京都南インター店,[営業時間]ＡＭ11：00〜AM3：00,〒601-8143, 京都府京都市南区上鳥羽麻ノ本２７－３,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8D%97%E5%8C%BA%E4%B8%8A%E9%B3%A5%E7%BE%BD%E9%BA%BB%E3%83%8E%E6%9C%AC%EF%BC%92%EF%BC%97%EF%BC%8D%EF%BC%93,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 京都府京都市南区上鳥羽麻ノ本２７−３</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 京都府京都市南区上鳥羽麻ノ本２７−</converted>
<candidate>
<address>京都府/京都市/南区/上鳥羽麻ノ本/２７番地</address>
<longitude>135.745117</longitude>
<latitude>34.956413</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.956413,135.745117
丸源ラーメン　岡山高柳店,https://www.cookdoor.jp/dtl/75000000000000045468/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/4/75000000000000045468/0000000319/75000000000000045468_0000000319_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/4/75000000000000045468/0000068287/75000000000000045468_0000068287_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/6/4/75000000000000045468/0000003942/75000000000000045468_0000003942_7_s.jpg,〒700-0035 岡山県岡山市北区高柳西町7番45号,ＪＲ吉備線「備前三門駅」から「丸源ラーメン　岡山高…」まで 徒歩9分,113件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%82%99%e5%89%8d%e4%b8%89%e9%96%80%e9%a7%85+%e3%80%92700-0051&destination=34.6614701406323,133.899774187436&travelmode=walking","丸源ラーメン岡山高柳店さんに行ってきました！

こちらのお店はとても人気で、私も大好きなラーメン屋さんです！
休日のランチやディナーの時間帯は待ち時間がある事も多いので、少し時間をずらして行くことをおすすめします！
また、20台ほどある駐車場もピーク時はすぐに停められないこともあります！
それほど人気のラーメン屋さんです！！

営業時間は10:30〜25:00と遅くまで営業しているのでとても便利です！(ラストオーダーは24:30までとなっています)
今回私は平日の13時頃に4人程で来店しましたが、10分ほどの待ち時間がありました。

入店後はテーブル席に案内してもらい、タッチパネルから定番の熟成醤油ラーメンの肉そばを注文！
スープも熱々濃厚で、お肉もたくさん入っていてとても美味しかったです！

支払い方法は現金だけではなく、クレジットカード、PayPayやauPayなどのバーコード決済、IDやQUICPayなどの電子マネーなど、様々な支払い方法に対応していますので手持ちがなくても安心です！

大好きなおすすめのラーメン屋さんですので、まだ食べた事がない方は是非一度行ってみてください！…",188枚,26本,山陽自動車道「岡山IC」から「丸源ラーメン　岡山高…」まで 4.3km,"1,500円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　岡山高柳店,11:00〜1：00,〒700-0035, 岡山県岡山市北区高柳西町7番45号,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E9%AB%98%E6%9F%B3%E8%A5%BF%E7%94%BA7%E7%95%AA45%E5%8F%B7,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区高柳西町7番45号</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区高柳西町7番45号</converted>
<candidate>
<address>岡山県/岡山市/北区/高柳西町/７番/４５号</address>
<longitude>133.899841</longitude>
<latitude>34.661716</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.661716,133.899841
とんこつラーメンラの壱春日井店,https://www.cookdoor.jp/dtl/60000000000000001913/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/1/9/60000000000000001913/0000001053/60000000000000001913_0000001053_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/1/9/60000000000000001913/0000034151/60000000000000001913_0000034151_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/1/9/60000000000000001913/0000059618/60000000000000001913_0000059618_1_s.jpg,〒486-0927 愛知県春日井市柏井町３－２３,ＪＲ中央本線「勝川駅」から「とんこつラーメンラの…」まで 徒歩14分,107件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8b%9d%e5%b7%9d%e9%a7%85+%e3%80%92486-0931&destination=35.2374839267046,136.959913522079&travelmode=walking",とんこつラーメンラの壱春日井店に行きました。私はとにかくとんこつラーメン大好きなので、最近仕事で春日井に行っていたので、ずっと気になっていたお店でした。こちらのお店は国道19号線を名古屋方面に向かってイオン春日井の手前にあります。この日も仕事で春日井にいた為、今日こそはと思って行ってきました。小牧や一宮でも見たことがあったのですが、なかなか行く機会が無く、やっと「ラの壱」にという感じでした。店に入るとこの時期らしく、きちんとソーシャルディスタンスが取られた形になっており、ひとりで食べに行ったので、カウンター席に案内されましたが、一つずつ席をとばして衝立があり、ランチタイムでしたが、片付けの時には必ず消毒液で隅々まで拭く様に徹底してコロナ対策をしている様子でした。席に着くと「平日ランチメニュー」が置いてあり、とんこつラーメンがメインですが、他にも醤油ラーメンやつけ麺、台湾とんこつなどもありましたが、まずはなんといっても、とんこつが食べたかったので、とんこつ「もとあじ」の中から、「特製もとあじ」を注文。ランチタイムは餃子、唐揚げ、チャーハンなどのセットもありましたが、サービスで白ごはんが付いてますし、何よりとんこつの醍醐味と言えば「替え玉」ですので、あえてトッピングの多い特製にしました。チャーシュー5枚と煮卵まで付いているので、いつも替え玉の時には具が無くなってしまうので、このボリュームならと思い、注文しました。「特製もとあじ」が到着すると、注文とは別に、とんこつラーメンには欠かせない「紅しょうが」「辛子高菜」それに「辛味もやし」まで、トッピングコーナにて取り放題ということになっていて、入れ放題。とんこつラーメンは、ザ・とんこつ　と言った感じで、期待していたとんこつラーメンで、紅しょうがをたっぷり入れて、もちろん替え玉も食べて、付いていた白ごはんには辛子高菜をたっぷりかけて食べましたが、こちらはかなり辛めなので、ご注意下さい。次回からは特製じゃない方で十分だと思いました。ラの壱イイですね。…,202枚,12本,名古屋第二環状自動車道「勝川IC」から「とんこつラーメンラの…」まで 1.5km,７００円,,,,,とんこつラーメンラの壱春日井店,11：00〜26：00,〒486-0927, 愛知県春日井市柏井町３－２３,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%98%A5%E6%97%A5%E4%BA%95%E5%B8%82%E6%9F%8F%E4%BA%95%E7%94%BA%EF%BC%93%EF%BC%8D%EF%BC%92%EF%BC%93,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県春日井市柏井町３−２３</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県春日井市柏井町３−２３</converted>
<candidate>
<address>愛知県/春日井市/柏井町/三丁目/２３番地</address>
<longitude>136.960327</longitude>
<latitude>35.237755</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.237755,136.960327
豚旨うま屋ラーメン　一宮店,https://www.cookdoor.jp/dtl/60000000000000004908/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/0/9/60000000000000004908/0000039985/60000000000000004908_0000039985_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/0/9/60000000000000004908/0000050038/60000000000000004908_0000050038_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/0/9/60000000000000004908/0000074600/60000000000000004908_0000074600_2_s.jpg,〒491-0831 愛知県一宮市森本４－１２－１８,名鉄名古屋本線「妙興寺駅」から「豚旨うま屋ラーメン　…」まで 徒歩21分,94件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a6%99%e8%88%88%e5%af%ba%e9%a7%85+%e3%80%92491-0922&destination=35.2882782074641,136.816303943146&travelmode=walking","平日お昼に行きました。
とてもおいしかったです。
森本中央公園の東にあります。
丹陽の北側を西に進む道の北側にあります。
北を前と見た時に右側にあるので南下方面の方が走りやすいです。…",197枚,17本,名古屋高速16号一宮線「一宮東IC」から「豚旨うま屋ラーメン　…」まで 1.2km,〜￥999 [昼] 〜￥999,,,,,豚旨うま屋ラーメン　一宮店,"11:30〜翌朝4:00
ランチ営業、夜10時以降入店可、夜12時以降入店可、日曜営業",〒491-0831, 愛知県一宮市森本４－１２－１８,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E4%B8%80%E5%AE%AE%E5%B8%82%E6%A3%AE%E6%9C%AC%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%98,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県一宮市森本４−１２−１８</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県一宮市森本４−１２−１８</converted>
<candidate>
<address>愛知県/一宮市/森本/四丁目/１２番/１８号</address>
<longitude>136.816620</longitude>
<latitude>35.287666</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.287666,136.81662
蔵出し味噌麺屋　壱正　中川店,https://www.cookdoor.jp/dtl/75000000000000050615/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/1/6/75000000000000050615/0000064179/75000000000000050615_0000064179_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/1/6/75000000000000050615/0000075312/75000000000000050615_0000075312_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/1/6/75000000000000050615/0000000110/75000000000000050615_0000000110_2_s.jpg,〒454-0839 愛知県名古屋市中川区篠原橋通３－１７,名古屋臨海高速鉄道あおなみ線「荒子駅」から「蔵出し味噌麺屋　壱正…」まで 徒歩3分,92件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e8%8d%92%e5%ad%90%e9%a7%85+%e3%80%92454-0874&destination=35.1408334349641,136.864714489824&travelmode=walking",蔵出し味噌壱正中川店は、名古屋市中川区にあります。駐車場も広くて安心。味噌の種類が豊富で北海道味噌と伊勢味噌を食べました。こしのある麺に濃厚な味噌が絡まっておいしかったです。おすすめの食べ方を教えてくださりとても満足しました。…,200枚,14本,名古屋高速5号万場線「烏森出入口（IC）」から「蔵出し味噌麺屋　壱正…」まで 1.9km,"？￥1,000〜￥1,999",,,,,蔵出し味噌麺屋　壱正　中川店,"[月・水〜土] 11:00〜23:00 [日] 11:00〜22:00

日曜営業",〒454-0839, 愛知県名古屋市中川区篠原橋通３－１７,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%B7%9D%E5%8C%BA%E7%AF%A0%E5%8E%9F%E6%A9%8B%E9%80%9A%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%97,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中川区篠原橋通３−１７</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中川区篠原橋通３−１７</converted>
<candidate>
<address>愛知県/名古屋市/中川区/篠原橋通/三丁目/１７番地</address>
<longitude>136.864944</longitude>
<latitude>35.140736</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.140736,136.864944
